"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Life scientists, all other    * Life Science Taxonomist","=""19-1099""","8.9","9.7","0.8","9.2","0.8","74,540","Bachelor's degree","3","None","4","None","6"
"Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Real Estate Loan Officer","=""13-2072""","318.6","354.9","36.3","11.4","30.4","64,660","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist","=""13-1081""","148.7","159.0","10.3","6.9","15.6","74,590","Bachelor's degree","3","None","4","None","6"
"Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Analyst* Management Consultant* Records Management Analyst","=""13-1111""","806.4","921.6","115.2","14.3","83.9","82,450","Bachelor's degree","3","Less than 5 years","2","None","6"
"Managers, all other    * Clerk of Court* Director of Entertainment* Environmental Control Administrator* Highway Patrol Commander* Safety Coordinator* Social Science Manager* Utilities Manager","=""11-9199""","992.1","1,071.7","79.5","8.0","79.2","105,610","Bachelor's degree","3","Less than 5 years","2","None","6"
"Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer","=""17-2121""","8.2","9.2","1.0","11.5","0.6","90,970","Bachelor's degree","3","None","4","None","6"
"Market research analysts and marketing specialists    * Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist","=""13-1161""","595.4","733.7","138.3","23.2","77.1","63,230","Bachelor's degree","3","None","4","None","6"
"Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing","=""11-2021""","218.3","240.4","22.1","10.1","21.3","132,230","Bachelor's degree","3","5 years or more","1","None","6"
"Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer","=""17-2131""","27.0","27.5","0.4","1.6","1.9","94,610","Bachelor's degree","3","None","4","None","6"
"Materials scientists    * Materials Scientist* Metal Alloy Scientist* Plastics Scientist","=""19-2032""","7.9","8.5","0.6","7.1","0.8","99,530","Bachelor's degree","3","None","4","None","6"
"Mathematical science occupations, all other    * Harmonic Analyst","=""15-2099""","2.2","2.4","0.2","11.0","0.2","N/A","Bachelor's degree","3","None","4","None","6"
"Mathematical technicians    * Mathematical Engineering Technician* Mathematics Technician","=""15-2091""","0.6","0.6","0.0","7.8","0.0","N/A","Bachelor's degree","3","None","4","None","6"
"Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Mechanical Engineer* Tool Engineer* Tool and Die Engineer","=""17-2141""","288.8","314.1","25.3","8.8","21.2","85,880","Bachelor's degree","3","None","4","None","6"
"Medical and clinical laboratory technologists    * Biochemistry Technologist* Blood Bank Laboratory Technologist* Chief Medical Technologist* Clinical Laboratory Technologist* Cytogenetic Technologist* Cytologist* Cytotechnologist* Histologist Technologist* Histotechnologist* Immunohematologist* Pathology Laboratory Technologist* Tissue Technologist","=""29-2011""","171.4","191.2","19.8","11.5","12.9","N/A","Bachelor's degree","3","None","4","None","6"
"Medical and health services managers    * Clinic Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager","=""11-9111""","352.2","424.3","72.1","20.5","36.7","98,350","Bachelor's degree","3","Less than 5 years","2","None","6"
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner","=""13-1121""","116.7","129.4","12.7","10.9","15.1","48,290","Bachelor's degree","3","None","4","None","6"
"Microbiologists    * Bacteriologist* Clinical Microbiologist* Medical Microbiologist* Microbiological Analyst* Public Health Microbiologist* Quality Control Microbiologist* Virologist","=""19-1022""","23.2","25.1","1.9","8.2","2.2","69,960","Bachelor's degree","3","None","4","None","6"
"Middle school teachers, except special and career/technical education    * 7th Grade Social Studies Teacher* Junior High School Teacher* Middle School PE Teacher* Middle School Science Teacher","=""25-2022""","630.3","677.7","47.3","7.5","50.5","57,720","Bachelor's degree","3","None","4","None","6"
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer","=""17-2151""","7.3","7.9","0.6","8.2","0.6","94,240","Bachelor's degree","3","None","4","None","6"
"Multimedia artists and animators    * 3D Animator* Animator* Multimedia Artist* Special Effects Artist","=""27-1014""","73.7","79.9","6.2","8.4","6.6","70,530","Bachelor's degree","3","None","4","None","6"
"Museum technicians and conservators    * Art Conservator* Art Preparator* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator","=""25-4013""","11.8","13.3","1.5","12.4","1.4","40,670","Bachelor's degree","3","None","4","None","6"
"Music directors and composers    * Choir Director* Choirmaster* Chorus Master* Composer* Jingle Writer* Maestro* Music Adapter* Music Arranger* Music Copyist* Music Director* Music Minister* Music Pastor* Orchestra Conductor* Orchestra Director* Orchestrator* Songwriter","=""27-2041""","74.8","79.1","4.3","5.7","7.7","50,590","Bachelor's degree","3","Less than 5 years","2","None","6"
"Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator","=""11-9121""","56.7","62.3","5.6","9.9","5.2","118,970","Bachelor's degree","3","5 years or more","1","None","6"
"Network and computer systems administrators    * Computer Systems Security Administrator* LAN Administrator* LAN Systems Administrator* Local Area Network Administrator* Network Coordinator* Network Security Administrator* Network Support Coordinator* Network Support Manager* Network Systems Administrator* Network Systems Coordinator* WAN Systems Administrator* Wide Area Network Administrator","=""15-1142""","391.3","415.3","24.0","6.1","27.0","81,100","Bachelor's degree","3","None","4","None","6"
"Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer","=""17-2161""","17.7","18.4","0.7","3.8","1.4","105,810","Bachelor's degree","3","None","4","None","6"
"Occupational health and safety specialists    * Certified Indoor Environmentalist* Certified Industrial Hygienist* Certified Professional Ergonomist* Environmental Health Sanitarian* Health and Safety Inspector* Industrial Hygienist* Industrial Safety and Health Specialist* Occupational Health and Safety Specialist* Occupational Safety and Health Inspector* Radiological Health Specialist","=""29-9011""","83.7","90.5","6.8","8.1","5.0","71,780","Bachelor's degree","3","None","4","None","6"
"Operations research analysts    * Operations Analyst* Operations Research Analyst* Procedure Analyst* Process Analyst","=""15-2031""","114.0","145.3","31.3","27.4","10.7","81,390","Bachelor's degree","3","None","4","None","6"
"Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Advisor* Personal Financial Planner* Personal Investment Adviser","=""13-2052""","271.9","312.3","40.4","14.9","25.5","90,640","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer","=""17-2171""","33.7","38.8","5.1","15.2","2.8","132,280","Bachelor's degree","3","None","4","None","6"
"Physical scientists, all other    * Physical Scientist","=""19-2099""","23.5","25.1","1.7","7.2","2.0","103,990","Bachelor's degree","3","None","4","None","6"
"Probation officers and correctional treatment specialists    * Correctional Treatment Specialist* Juvenile Probation Officer* Parole Agent* Parole Officer* Probation Officer","=""21-1092""","91.3","96.5","5.2","5.7","8.3","51,410","Bachelor's degree","3","None","4","Short-term on-the-job training","5"
"Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer","=""27-2012""","134.7","151.2","16.5","12.2","14.1","71,620","Bachelor's degree","3","Less than 5 years","2","None","6"
"Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader","=""43-9081""","14.2","14.4","0.2","1.7","2.2","37,550","Bachelor's degree","3","None","4","None","6"
"Public relations and fundraising managers    * Communication Manager* Fundraising Director* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director","=""11-2031""","73.5","81.1","7.7","10.4","6.9","111,280","Bachelor's degree","3","5 years or more","1","None","6"
"Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer","=""27-3031""","259.6","282.6","22.9","8.8","28.2","59,300","Bachelor's degree","3","None","4","None","6"
"Purchasing agents, except wholesale, retail, and farm products    * Equipment, Supplies, and Tools Purchasing Agent* Radio Time Buyer","=""13-1023""","309.4","292.1","-17.4","-5.6","23.8","N/A","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager","=""11-3061""","73.9","77.9","4.0","5.5","6.3","115,760","Bachelor's degree","3","5 years or more","1","None","6"
"Radio and television announcers    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disk Jockey* Radio Host* Talk Show Host* Television Host","=""27-3011""","41.3","36.5","-4.8","-11.6","3.2","32,450","Bachelor's degree","3","None","4","None","6"
"Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Recreational Therapist* Therapeutic Recreation Specialist","=""29-1125""","19.2","20.5","1.3","6.5","1.2","47,680","Bachelor's degree","3","None","4","None","6"
"Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse","=""29-1141""","2,955.2","3,393.2","438.1","14.8","203.7","70,000","Bachelor's degree","3","None","4","None","6"
"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger","=""21-2099""","53.2","57.3","4.1","7.7","7.7","29,310","Bachelor's degree","3","None","4","None","6"
"Reporters and correspondents    * Book Critic* Book Reviewer* Columnist* Desk Reporter* Editorial Writer* Feature Writer* Film Critic* Foreign Correspondent* Investigative Reporter* Market News Reporter* Movie Critic* News Reporter* Newspaper Columnist* Newspaper Correspondent* Political Reporter* Press Writer* Society Reporter","=""27-3022""","44.7","40.2","-4.5","-10.0","3.7","39,370","Bachelor's degree","3","None","4","None","6"
"Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer","=""41-9031""","74.9","80.1","5.2","6.9","8.3","98,720","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager","=""11-2022""","385.5","414.4","28.9","7.5","36.3","121,060","Bachelor's degree","3","Less than 5 years","2","None","6"
"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson","=""41-4011""","343.6","361.3","17.6","5.1","37.0","78,830","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Secondary school teachers, except special and career/technical education    * High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Music Director* High School Teacher","=""25-2031""","1,018.7","1,095.5","76.8","7.5","79.5","59,170","Bachelor's degree","3","None","4","None","6"
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader","=""41-3031""","375.7","398.9","23.3","6.2","38.0","63,780","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer","=""27-1027""","14.6","16.1","1.5","10.3","1.6","53,090","Bachelor's degree","3","None","4","None","6"
"Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director","=""11-9151""","147.3","173.8","26.5","18.0","16.3","64,100","Bachelor's degree","3","Less than 5 years","2","None","6"
"Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant","=""19-4061""","34.0","35.5","1.5","4.3","4.1","46,000","Bachelor's degree","3","None","4","None","6"
"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist","=""19-3099""","42.1","44.9","2.7","6.5","4.2","79,370","Bachelor's degree","3","None","4","None","6"
"Social workers, all other    * Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker","=""21-1029""","64.0","69.3","5.3","8.3","7.2","61,980","Bachelor's degree","3","None","4","None","6"
"Software developers, applications    * Application Integration Engineer* Applications Developer* Computer Applications Developer* Computer Applications Engineer* Database Developer* Software Applications Architect* Software Applications Designer* Software Applications Engineer","=""15-1132""","831.3","1,086.6","255.4","30.7","85.7","101,790","Bachelor's degree","3","None","4","None","6"
"Software developers, systems software    * Computer Systems Software Architect* Computer Systems Software Engineer* Embedded Systems Software Developer* Enterprise Systems Engineer* Software Systems Engineer* Systems Software Designer* Systems Software Specialist","=""15-1133""","425.0","472.1","47.1","11.1","32.9","107,600","Bachelor's degree","3","None","4","None","6"
"Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist","=""19-1013""","19.9","21.7","1.8","8.8","2.2","62,430","Bachelor's degree","3","None","4","None","6"
"Special education teachers, all other    * Autism Tutor* Special Education Teacher for Adults with Disabilities","=""25-2059""","41.3","45.4","4.1","9.8","3.4","54,800","Bachelor's degree","3","None","4","None","6"
"Special education teachers, kindergarten and elementary school    * SED Elementary School Teacher* Severe Emotional Disorders Elementary School Teacher* Special Education Kindergarten Teacher","=""25-2052""","188.9","202.8","13.9","7.4","15.0","58,600","Bachelor's degree","3","None","4","None","6"
"Special education teachers, middle school    * Middle School Special Education Teacher* Middle School Teacher for Students with Moderate Intellectual Disabilities* SED Middle School Teacher* Severe Emotional Disorders Middle School Teacher","=""25-2053""","89.3","95.7","6.3","7.1","7.1","59,510","Bachelor's degree","3","None","4","None","6"
"Special education teachers, preschool    * Early Childhood Special Education Teacher* Early Childhood Special Educator* Pre-K Special Education Teacher* Pre-Kindergarten Special Education Teacher* Special Education Preschool Teacher","=""25-2051""","29.2","32.5","3.3","11.2","2.5","53,640","Bachelor's degree","3","None","4","None","6"
"Special education teachers, secondary school    * High School Learning Support Teacher* High School Special Education Teacher* SED High School Teacher* Secondary School Special Ed Teacher* Severe Emotional Disorders High School Teacher","=""25-2054""","131.9","141.6","9.7","7.4","10.5","60,180","Bachelor's degree","3","None","4","None","6"
"Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk","=""43-9111""","11.8","12.9","1.1","9.2","1.6","47,400","Bachelor's degree","3","None","4","None","6"
"Substance abuse and behavioral disorder counselors    * Addiction Counselor* Addiction Therapist* Alcohol and Drug Counselor* Certified Abuse and Drug Addiction Counselor* Certified Alcohol and Drug Counselor* Chemical Dependency Counselor* Drug Abuse Counselor* Drug Counselor* Substance Abuse Counselor","=""21-1011""","102.4","126.2","23.8","23.2","14.1","N/A","Bachelor's degree","3","None","4","None","6"
"Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor","=""17-1022""","44.8","49.8","5.0","11.2","3.8","61,140","Bachelor's degree","3","None","4","Internship/residency","1"
"Tax examiners and collectors, and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer","=""13-2081""","62.1","61.7","-0.4","-0.6","4.2","53,130","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Teachers and instructors, all other    * Substitute Teacher* Tutor","=""25-3099""","993.9","1,091.8","98.0","9.9","122.2","30,310","Bachelor's degree","3","None","4","None","6"
"Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer","=""27-3042""","52.4","58.1","5.7","11.0","5.7","70,930","Bachelor's degree","3","Less than 5 years","2","Short-term on-the-job training","5"
"Therapists, all other    * Art Therapist* Auriculotherapist* Educational Therapist* Hydrotherapist* Music Therapist* Peripatologist","=""29-1129""","24.1","28.9","4.8","19.9","1.9","53,850","Bachelor's degree","3","None","4","None","6"
"Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager","=""11-3131""","34.5","38.1","3.6","10.3","3.5","108,250","Bachelor's degree","3","5 years or more","1","None","6"
"Training and development specialists    * Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Job Training Specialist* Training Coordinator* Training Specialist* Workforce Development Specialist","=""13-1151""","282.8","315.3","32.5","11.5","31.7","60,360","Bachelor's degree","3","Less than 5 years","2","None","6"
"Vocational education teachers, postsecondary    * Architectural Drafting Instructor* Aviation Maintenance Instructor* Barbering Instructor* Barbering Teacher* Building Trades Instructor* Carpentry Instructor* Commercial Art Instructor* Computer Repair Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Professor* Electrical Technology Instructor* Electronics Technology Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Massage Therapy Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Postsecondary Career and Technical Education Teacher* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor","=""25-1194""","128.0","129.8","1.7","1.4","9.8","51,600","Bachelor's degree","3","Less than 5 years","2","None","6"
"Wholesale and retail buyers, except farm products    * Gold Buyer* Merchandise Buyer* Retail Buyer* Tie Buyer* Wholesale Buyer","=""13-1022""","123.3","120.3","-3.0","-2.5","13.3","N/A","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Writers and authors    * Advertising Copy Writer* Advertising Copywriter* Author* Biographer* Copy Writer* Copywriter* Lyricist* Novelist* Playwright* Poet* Program Writer* Radio Script Writer* Screen Writer* Short Story Writer* Song Lyricist* Television Writer* Verse Writer","=""27-3043""","131.2","141.2","10.0","7.6","12.6","61,820","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist","=""19-1023""","19.4","20.9","1.5","7.6","1.9","62,290","Bachelor's degree","3","None","4","None","6"
